爱	ài	ai
八	bā	ba
爸爸	bàba	baba
杯子	bēizi	beizi
北京	Běijīng	beijing
本	běn	ben
不客气	bú kèqi	bukeqi
不	bù	bu
菜	cài	cai
茶	chá	cha
吃	chī	chi
出租车	chūzūchē	chuzuche
打电话	dǎ diànhuà	dadianhua
大	dà	da
的	de	de
点	diǎn	dian
电脑	diànnǎo	diannao
电视	diànshì	dianshi
电影	diànyǐng	dianying
东西	dōngxi	dongxi
都	dōu	dou
读	dú	du
对不起	duìbuqǐ	duibuqi
多	duō	duo
多少	duōshao	duoshao
儿子	érzi	erzi
二	èr	er
饭店	fàndiàn	fandian
飞机	fēijī	feiji
分钟	fēnzhōng	fenzhong
高兴	gāoxìng	gaoxing
个	gè	ge
工作	gōngzuò	gongzuo
狗	gǒu	gou
汉语	hànyǔ	hanyu
好	hǎo	hao
号	hào	hao
喝	hē	he
和	hé	he
很	hěn	hen
后面	hòumiàn	houmian
回	huí	hui
会	huì	hui
几	jǐ	ji
家	jiā	jia
叫	jiào	jiao
今天	jīntiān	jintian
九	jiǔ	jiu
开	kāi	kai
看	kàn	kan
看见	kàn jiàn	kanjian
块	kuài	kuai
来	lái	lai
老师	lǎoshī	laoshi
了	le	le
冷	lěng	leng
里	li	li
六	liù	liu
妈妈	māma	mama
吗	ma	ma
买	mǎi	mai
猫	māo	mao
没关系	méi guānxi	meiguanxi
没有	méiyǒu	meiyou
米饭	mǐfàn	mifan
名字	míngzi	mingzi
明天	míngtiān	mingtian
哪	nǎ	na
哪儿	nǎr	nar
那	nà	na
呢	ne	ne
能	néng	neng
你	nǐ	ni
年	nián	nian
女儿	nǚ'ér	nver
朋友	péngyou	pengyou
漂亮	piàoliang	piaoliang
苹果	píngguǒ	pingguo
七	qī	qi
前面	qiánmiàn	qianmian
钱	qián	qian
请	qǐng	qing
去	qù	qu
热	rè	re
人	rén	ren
认识	rènshi	renshi
三	sān	san
商店	shāngdiàn	shangdian
上	shang	shang
上午	shàngwǔ	shangwu
少	shǎo	shao
谁	shéi	shei
什么	shénme	shenme
十	shí	shi
时候	shíhou	shihou
是	shì	shi
书	shū	shu
水	shuǐ	shui
水果	shuǐguǒ	shuiguo
睡觉	shuì jiào	shuijiao
说	shuō	shuo
四	sì	si
岁	suì	sui
他	tā	ta
她	tā	ta
太	tài	tai
天气	tiānqì	tianqi
听	tīng	ting
同学	tóngxué	tongxue
喂	wèi	wei
我	wǒ	wo
我们	wǒmen	women
五	wǔ	wu
喜欢	xǐhuan	xihuan
下	xià	xia
下午	xiàwǔ	xiawu
下雨	xià yǔ	xiayu
先生	xiānsheng	xiansheng
现在	xiànzài	xianzai
想	xiǎng	xiang
小	xiǎo	xiao
小姐	xiǎojiě	xiaojie
些	xiē	xie
写	xiě	xie
谢谢	xièxie	xiexie
星期	xīngqī	xingqi
学生	xuésheng	xuesheng
学习	xuéxí	xuexi
学校	xuéxiào	xuexiao
一	yī	yi
衣服	yīfu	yifu
医生	yīshēng	yisheng
医院	yīyuàn	yiyuan
椅子	yǐzi	yizi
一点儿	yìdiǎnr	yidianr
有	yǒu	you
月	yuè	yue
再见	zàijiàn	zaijian
在	zài	zai
怎么	zěnme	zenme
怎么样	zěnmeyàng	zenmeyang
这	zhè	zhe
中国	Zhōngguó	zhongguo
中午	zhōngwǔ	zhongwu
住	zhù	zhu
桌子	zhuōzi	zhuozi
字	zì	zi
昨天	zuótiān	zuotian
坐	zuò	zuo
做	zuò	zuo
