爱	ài
八	bā
爸爸	bàba
杯子	bēizi
本	běn
不客气	bú kèqi
不	bù
菜	cài
茶	chá
吃	chī
出租车	chūzūchē
打电话	dǎ diànhuà
大	dà
的	de
点	diǎn
电脑	diànnǎo
电视	diànshì
电影	diànyǐng
东西	dōngxi
都	dōu
读	dú
对不起	duìbuqǐ
多	duō
多少	duōshao
儿子	érzi
二	èr
饭店	fàndiàn
飞机	fēijī
分钟	fēnzhōng
高兴	gāoxìng
个	gè
工作	gōngzuò
狗	gǒu
汉语	hànyǔ
好	hǎo
号	hào
喝	hē
和	hé
很	hěn
后面	hòumiàn
回	huí
会	huì
几	jǐ
家	jiā
叫	jiào
今天	jīntiān
九	jiǔ
开	kāi
看	kàn
看见	kàn jiàn
块	kuài
来	lái
老师	lǎoshī
了	le
冷	lěng
里	li
六	liù
妈妈	māma
吗	ma
买	mǎi
猫	māo
没关系	méi guānxi
没有	méiyǒu
米饭	mǐfàn
名字	míngzi
明天	míngtiān
哪	nǎ
哪儿	nǎr
那	nà
呢	ne
能	néng
你	nǐ
年	nián
女儿	nǚ'ér
朋友	péngyou
漂亮	piàoliang
苹果	píngguǒ
七	qī
前面	qiánmiàn
钱	qián
请	qǐng
去	qù
热	rè
人	rén
认识	rènshi
三	sān
商店	shāngdiàn
上	shang
上午	shàngwǔ
少	shǎo
谁	shéi
什么	shénme
十	shí
时候	shíhou
是	shì
书	shū
水	shuǐ
水果	shuǐguǒ
睡觉	shuì jiào
说	shuō
四	sì
岁	suì
他	tā
她	tā
太	tài
天气	tiānqì
听	tīng
同学	tóngxué
喂	wèi
我	wǒ
我们	wǒmen
五	wǔ
喜欢	xǐhuan
下	xià
下午	xiàwǔ
下雨	xià yǔ
先生	xiānsheng
现在	xiànzài
想	xiǎng
小	xiǎo
小姐	xiǎojiě
些	xiē
写	xiě
谢谢	xièxie
星期	xīngqī
学生	xuésheng
学习	xuéxí
学校	xuéxiào
一	yī
衣服	yīfu
医生	yīshēng
医院	yīyuàn
椅子	yǐzi
一点儿	yìdiǎnr
有	yǒu
月	yuè
再见	zàijiàn
在	zài
怎么	zěnme
怎么样	zěnmeyàng
