吧	ba	ba
白	bái	bai
百	bǎi	bai
帮助	bāngzhù	bangzhu
报纸	bàozhǐ	baozhi
比	bǐ	bi
别	bié	bie
宾馆	bīnguǎn	binguan
长	cháng	chang
唱歌	chàng gē	changge
出	chū	chu
穿	chuān	chuan
次	cì	ci
从	cóng	cong
错	cuò	cuo
打篮球	dǎ lánqiú	dalanqiu
大家	dàjiā	dajia
但是	dànshì	danshi
到	dào	dao
得	de	de
等	děng	deng
弟弟	dìdi	didi
第一	dì yī	diyi
懂	dǒng	dong
对	duì	dui
房间	fángjiān	fangjian
非常	fēicháng	feichang
服务员	fúwùyuán	fuwuyuan
高	gāo	gao
告诉	gàosù	gaosu
哥哥	gēge	gege
给	gěi	gei
公共汽车	gōnggòng qìchē	gonggongqiche
公司	gōngsī	gongsi
贵	guì	gui
过	guò	guo
还	hái	hai
孩子	háizi	haizi
好吃	hǎochī	haochi
黑	hēi	hei
红	hóng	hong
火车站	huǒchēzhàn	huochezhan
机场	jīchǎng	jichang
鸡蛋	jīdàn	jidan
件	jiàn	jian
觉得	juéde	juede
教室	jiàoshì	jiaoshi
姐姐	jiějie	jiejie
介绍	jièshào	jieshao
进	jìn	jin
近	jìn	jin
就	jiù	jiu
咖啡	kāfēi	kafei
开始	kāishǐ	kaishi
考试	kǎoshì	kaoshi
可能	kěnéng	keneng
可以	kěyǐ	keyi
课	kè	ke
快	kuài	kuai
快乐	kuàilè	kuaile
累	lèi	lei
离	lí	li
两	liǎng	liang
零	líng	ling
路	lù	lu
旅游	lǚyóu	lvyou
卖	mài	mai
慢	màn	man
忙	máng	mang
每	měi	mei
妹妹	mèimei	meimei
门	mén	men
面条	miàntiáo	miantiao
男	nán	nan
您	nín	nin
牛奶	niúnǎi	niunai
女	nǚ	nv
旁边	pángbiān	pangbian
跑步	pǎo bù	paobu
便宜	piányi	pianyi
票	piào	piao
妻子	qīzi	qizi
起床	qǐ chuáng	qichuang
千	qiān	qian
铅笔	qiānbǐ	qianbi
晴	qíng	qing
去年	qùnián	qunian
让	ràng	rang
日	rì	ri
上班	shàng bān	shangban
身体	shēntǐ	shenti
生病	shēng bìng	shengbing
生日	shēngrì	shengri
时间	shíjiān	shijian
事情	shìqing	shiqing
手表	shǒubiǎo	shoubiao
手机	shǒujī	shouji
说话	shuō huà	shuohua
送	sòng	song
虽然	suīrán	suiran
所以	suǒyǐ	suoyi
它	tā	ta
踢足球	tī zúqiú	tizuqiu
题	tí	ti
跳舞	tiào wǔ	tiaowu
外	wài	wai
完	wán	wan
玩	wán	wan
玩儿	wánr	wanr
晚上	wǎnshang	wanshang
往	wǎng	wang
为什么	wèi shénme	weishenme
问	wèn	wen
问题	wèntí	wenti
西瓜	xīguā	xigua
希望	xīwàng	xiwang
洗	xǐ	xi
小时	xiǎoshí	xiaoshi
笑	xiào	xiao
新	xīn	xin
姓	xìng	xing
休息	xiūxi	xiuxi
雪	xuě	xue
颜色	yánsè	yanse
眼睛	yǎnjing	yanjing
羊肉	yángròu	yangrou
药	yào	yao
要	yào	yao
也	yě	ye
一下	yíxià	yixia
已经	yǐjīng	yijing
一起	yìqǐ	yiqi
意思	yìsi	yisi
因为	yīnwèi	yinwei
阴	yīn	yin
游泳	yóu yǒng	youyong
右边	yòubian	youbian
鱼	yú	yu
远	yuǎn	yuan
运动	yùndòng	yundong
再	zài	zai
早上	zǎoshang	zaoshang
丈夫	zhàngfu	zhangfu
找	zhǎo	zhao
着	zhe	zhe
真	zhēn	zhen
正在	zhèngzài	zhengzai
知道	zhīdào	zhidao
准备	zhǔnbèi	zhunbei
走	zǒu	zou
最	zuì	zui
左边	zuǒbian	zuobian
