吧	ba
白	bái
百	bǎi
帮助	bāngzhù
报纸	bàozhǐ
比	bǐ
别	bié
宾馆	bīnguǎn
长	cháng
唱歌	chàng gē
出	chū
穿	chuān
次	cì
从	cóng
错	cuò
打篮球	dǎ lánqiú
大家	dàjiā
但是	dànshì
到	dào
得	de
等	děng
弟弟	dìdi
第一	dì yī
懂	dǒng
对	duì
房间	fángjiān
非常	fēicháng
服务员	fúwùyuán
高	gāo
告诉	gàosù
哥哥	gēge
给	gěi
公共汽车	gōnggòng qìchē
公司	gōngsī
贵	guì
过	guò
还	hái
孩子	háizi
好吃	hǎochī
黑	hēi
红	hóng
火车站	huǒchēzhàn
机场	jīchǎng
鸡蛋	jīdàn
件	jiàn
觉得	juéde
教室	jiàoshì
姐姐	jiějie
介绍	jièshào
进	jìn
近	jìn
就	jiù
咖啡	kāfēi
开始	kāishǐ
考试	kǎoshì
可能	kěnéng
可以	kěyǐ
课	kè
快	kuài
快乐	kuàilè
离	lí
两	liǎng
零	líng
路	lù
旅游	lǚyóu
慢	màn
忙	máng
每	měi
妹妹	mèimei
门	mén
面条	miàntiáo
男	nán
牛奶	niúnǎi
女	nǚ
旁边	pángbiān
跑步	pǎo bù
便宜	piányi
票	piào
妻子	qīzi
起床	qǐ chuáng
千	qiān
铅笔	qiānbǐ
晴	qíng
去年	qùnián
让	ràng
日	rì
上班	shàng bān
身体	shēntǐ
生病	shēng bìng
生日	shēngrì
时间	shíjiān
事情	shìqing
手表	shǒubiǎo
手机	shǒujī
说话	shuō huà
送	sòng
虽然	suīrán
所以	suǒyǐ
它	tā
踢足球	tī zúqiú
题	tí
跳舞	tiào wǔ
外	wài
完	wán
玩儿	wánr
晚上	wǎnshang
往	wǎng
为什么	wèi shénme
问	wèn
问题	wèntí
西瓜	xīguā
希望	xīwàng
洗	xǐ
小时	xiǎoshí
笑	xiào
新	xīn
姓	xìng
休息	xiūxi
雪	xuě
颜色	yánsè
眼睛	yǎnjing
羊肉	yángròu
药	yào
要	yào
也	yě
一下	yíxià
已经	yǐjīng
一起	yìqǐ
意思	yìsi
因为	yīnwèi
阴	yīn
游泳	yóu yǒng
右边	yòubian
鱼	yú
远	yuǎn
运动	yùndòng
再	zài
早上	zǎoshang
丈夫	zhàngfu
找	zhǎo
着	zhe
真	zhēn
正在	zhèngzài
知道	zhīdào
准备	zhǔnbèi
走	zǒu
最	zuì
左边	zuǒbian
