阿姨	ayi
啊	a
矮	ai
爱好	aihao
安静	anjing
把	ba
班	ban
搬	ban
办法	banfa
办公室	bangongshi
半	ban
帮忙	bang mang
包	bao
饱	bao
北方	beifang
被	bei
鼻子	bizi
比较	bijiao
比赛	bisai
笔记本	bijiben
必须	bixu
变化	bianhua
别人	bieren
冰箱	bingxiang
不但	budan
而且	erqie
菜单	caidan
参加	canjia
草	cao
层	ceng
差	cha
超市	chaoshi
衬衫	chenshan
成绩	chengji
城市	chengshi
迟到	chidao
除了	chule
船	chuan
春	chun
天	tian
词典	cidian
聪明	congming
打扫	dasao
打算	dasuan
带	dai
担心	dan xin
蛋糕	dangao
当然	dangran
地	de
灯	deng
地方	difang
地铁	ditie
地图	ditu
电梯	dianti
电子邮件	dianzi youjian
东	dong
冬	dong
动物	dongwu
短	duan
段	duan
锻炼	duanlian
多么	duome
饿	e
耳朵	erduo
发	fa
发烧	fashao
发现	faxian
方便	fangbian
放	fang
放心	fang xin
分	fen
附近	fujin
复习	fuxi
干净	ganjing
感冒	ganmao
感兴趣	gan xingqu
刚才	gangcai
个子	gezi
根据	genju
跟	gen
更	geng
公斤	gongjin
公园	gongyuan
故事	gushi
刮风	guafeng
关	guan
关系	guanxi
关心	guanxin
关于	guanyu
国家	guojia
过	guò	v.	to spend (time), to pass (time)
过去	guoqu
还是	haishi
害怕	hai pa
黑板	heiban
后来	houlai
护照	huzhao
花	hua
画	hua
坏	huai
欢迎	huanying
还	huan
环境	huanjing
换	huan
回答	huida
会议	huiyi
或者	huozhe
几乎	jihu
机会	jihui
极	ji
记得	jide
季节	jijie
检查	jiancha
简单	jiandan
见面	jian mian
健康	jiankang
讲	jiang
教	jiao
角	jiao
脚	jiao
接	jie
街道	jidao
节目	jiemu
节日	jieri
结婚	jie hun
结束	jieshu
解决	jiejue
借	jie
经常	jingchang
经过	jingguo
经理	jingli
久	jiu
旧	jiu
句子	juzi
决定	jueding
可爱	ke'ai
渴	ke
刻	ke
客人	keren
空调	kongtiao
口	kou
哭	ku
裤子	kuzi
筷子	kuaizi
蓝	lan
老	lao
离开	li kai
礼物	liwu
历史	lishi
脸	lian
练习	lianxi
辆	liang
聊天	liaotian
聊天儿	liaotianr
了解	liaojie
邻居	linju
留学	liu xue
楼	lou
绿	lü
马	ma
马上	mashang
满意	manyi
帽子	maozi
米	mi
面包	mianbao
明白	mingbai
拿	na
奶奶	nainai
南	nan
难	nan
难过	nanguo
年级	nianji
年轻	nianqing
鸟	niao
努力	nuli
爬山	pa shan
盘子	panzi
胖	pang
皮鞋	pixie
啤酒	pijiu
瓶子	pingzi
其实	qishi
其他	qita
奇怪	qiguai
骑	qi
起飞	qifei
起来	qilai
清楚	qingchu
请假	qing jia
秋	qiu
裙子	qunzi
然后	ranhou
热情	reqing
认为	renwei
认真	renzhen
容易	rongyi
如果	ruguo
伞	san
上网	shang wang
生气	sheng qi
声音	shengyin
世界	shijie
试	shi
瘦	shou
叔叔	shushu
舒服	shufu
树	shu
数学	shuxue
刷牙	shua ya
双	shuang
水平	shuiping
司机	siji
太阳	taiyang
特别	tebie
疼	teng
提高	ti gao
体育	tiyu
甜	tian
条	tiao
同事	tongshi
同意	tongyi
头发	toufa
突然	turan
图书馆	tushuguan
腿	tui
完成	wan cheng
碗	wan
万	wan
忘记	wangji
为	wei
为了	weile
位	wei
文化	wenhua
西	xi
习惯	xiguan
洗手间	xishoujian
洗澡	xi zao
夏	xia
先	xian
相信	xiangxin
香蕉	xiangjiao
向	xiang
像	xiang
小心	xiaoxin
校长	xiaozhang
新闻	xinwen
新鲜	xinxian
信用卡	xinyongka
行李箱	xinglixiang
熊猫	xiongmao
需要	xuyao
选择	xuanze
要求	yaoqiu
爷爷	yeye
一定	yiding
一共	yigong
一会儿	yihuir
一会儿	yihui'er
一样	yiyang
以前	yiqian
一般	yiban
一边	yibian
一直	yizhi
音乐	yinyue
银行	yinhang
饮料	yinliao
应该	yinggai
影响	yingxiang
用	yong
游戏	youxi
有名	youming
又	you
遇到	yudao
元	yuan
愿意	yuanyi
月亮	yueliang
越	yue
站	zhan
张	zhang
长	zhang
着急	zhaoji
照顾	zhaogu
照片	zhaopian
照相机	zhaoxiangji
只	zhi
只有	zhiyou
才	cai
中间	zhongjian
终于	zhongyu
种	zhong
重要	zhongyao
周末	zhoumo
主要	zhuyao
注意	zhu yi
自己	ziji
自行车	zixingche
总是	zongshi
嘴	zui
最后	zuihou
最近	zuijin
作业	zuoye
黄河	Huang He
中文	Zhongwen

