爱迪生	Aidisheng	p.n.	Thomas Edison
林	Lin	p.n.	family name
马克	Make	p.n.	Mark
上海	Shanghai	p.n.	Shanghai, city of China
孙月	Sun Yue	p.n.	name of person
小雨	Xiaoyu	p.n.	name of person
并	bing	adv.	used before negative for emphasis
会员卡	huiyuanka	n.	membership card
即	ji	adv.	(used together with "又") both...and...
精神	jingshen	n.	spirit, mind
亮	liang	v.	to shine, to be lit
流血	liu xie	v.	to bleed
面对	miandui	v.	to face, to confront
星星	xingxing	n.	star
制冷	xhileng	v.	to refrigerate
按	an	prep.	according to
保	bao	v.	to guarantee
笔试	bishi	n.	written exam
不同	butong	adj.	different
餐	can	n.	meal
长期	changqi	n.	long time
成	cheng	v.	to succeed, to accomplish, to become
处	chu	n.	someplace
窗	chuang	n.	window
得到	dedao	v.	to gain
堵	du	v.	to block up
父母	fumu	n.	parents
感到	gandao	v.	to feel
购	gou	v.	to buy
购买	goumai	v.	to buy, to purchase
货	huo	n.	stuff
加	jia	v.	to add
价钱	jiaqian	n.	price
奖	jiang	n.	award, praise
街	jie	n.	street
美	mei	adj.	beautiful
面试	mianshi	n.	interview
女性	nüxing	n.	woman
普通	putong	adj.	common, ordinary
商场	shangchang	n.	shopping mall
身边	shenbian	n.	at or by one's side
体育馆	tiyuguan	n.	gymnasium
小朋友	xiaopengyou	n.	kid
校园	xiaoyuan	n.	campus
新鲜感	xinxiangan	n.	feeling of freshness
有关	youguan	v.	to have something to do with
咱	zan	pron.	I, we, us
折	zhe	n.	discount
纸	zhi	n.	paper
祝	zhu	v.	to wish
做客	zuo ke	v.	to be a guest
安娜	Anna	p.n.	name of person
长江大桥	Changjiang Daqiao	p.n.	Yangtze River Bridge (in Nanjing)
广东省	Guangdong Sheng	p.n.	Guangdong, province of China
六一儿童节	Liuyi Ertongjie	p.n.	International Children's Day
首都机场	Shoudu Jichang	p.n.	Beijing Capital International Airport
香山	Xiang Shan	p.n.	the Fragrant Hill (in Beijing)
吵	chao	adj.	noisy
达到	dadao	v.	to reach, to attain
代表	daibiao	v.	to represent, to stand for
方式	fangshi	n.	way, mode
怪	guai	adv.	rather, quite
美人鱼	Meirenyu	n.	mermaid
闹钟	naozhong	n.	alarm clock
事半功倍	shi ban gong bei		to achieve twice the result with half the effort
舞蹈	wudao	n.	dance
抓	zhua	v.	to catch, to arrest
笔记	biji	n.	notes
表	biao	n.	chart
部	bu	n.	part
春游	chunyou	v.	to go on a spring outing
袋	dai	n.	bag, sack
袋子	daizi	n.	bag, sack
风景	fengjing	n.	scenery
改	gai	v.	to change
关注	guanzhu	v.	to pay close attention to
海	hai	n.	sea
环保	huanbao	v.	to protect the environment
极了	jile		extremely (modifies adj.)
加油	jiayou	v.	to make a greater effort (add gas)
减	jian	v.	to subtract
减轻	jianqing	v.	to lighten, to alleviate
科技	keji	v.	science and technology
垃圾	laji	n.	rubbish
理发店	lifadian	n.	barbershop
例子	lizi	n.	example
凉茶	liangcha	n.	Chinese herbal tea
另	ling	pron.	another, other
美好	meihao	adj.	fine, good
暖	nuan	adj.	warm
奇特	qite	adj.	unusual, peculiar
气温	qiwen	n.	(air) temperature
全	quan	adj.	whole
受	shou	v.	to receive
数	shu	n.	number
填	tian	v.	to fill
同样	tongyang	adj.	same
小区	xiaoqu	n.	residential community, neighborhood
信	xin	n.	letter
兴趣	xingqu	n.	interest (object of v. to be interested)
牙刷	yashua	n.	toothbrush
养	yang	v.	to cultivate, to keep
有效	youxiao	adj.	effective
有限	youxian	adj.	limited
约	yue	adv.	about
增	zeng	v.	to increase
增长	zengzhang	v.	to increase, to enhance
